frame	time	x	y	burst
138942	40	328	152	0
138943	72	329	152	0
138944	103	332	150	0
138945	135	334	148	0
138946	167	336	147	0
138947	199	339	142	0
138948	239	342	140	0
138949	271	344	137	0
138950	302	346	135	0
138951	335	349	131	0
138952	367	351	128	0
138953	399	353	125	0
138954	439	355	123	0
138955	471	357	120	0
138956	503	359	118	0
138957	535	361	115	0
138958	567	365	112	0
138959	599	366	110	0
138960	639	369	108	0
138961	671	369	108	0
138962	703	371	106	0
138963	735	373	105	0
138964	766	375	104	0
138965	799	375	103	0
138966	839	375	103	0
138967	871	376	103	0
138968	903	376	103	0
138969	935	376	103	0
138970	966	382	99	0
138971	999	394	93	0
138972	1039	399	92	0
138973	1071	400	92	0
138974	1103	400	92	0
138975	1135	400	92	0
138976	1167	400	92	0
138977	1199	400	92	0
138978	1239	400	92	0
138979	1271	400	92	0
138980	1303	399	93	0
138981	1335	397	93	0
138982	1367	394	94	0
138983	1398	394	94	0
138984	1439	391	95	0
138985	1470	386	95	0
138986	1503	384	96	0
138987	1535	381	97	0
138988	1567	378	97	0
138989	1598	375	95	0
138990	1630	372	95	0
138991	1670	370	94	0
138992	1702	367	93	0
138993	1734	366	92	0
138994	1767	363	90	0
138995	1799	361	88	0
138996	1831	359	87	0
138997	1870	357	85	0
138998	1909	355	83	0
138999	1937	353	81	0
139000	1966	351	78	0
139001	1998	349	76	0
139002	2030	348	73	0
139003	2070	347	71	0
139004	2102	347	68	0
139005	2134	345	64	0
139006	2166	345	62	0
139007	2198	345	60	0
139008	2230	344	56	0
139009	2270	343	53	0
139010	2302	343	50	0
139011	2335	342	46	0
139012	2366	342	45	0
139013	2398	341	40	0
139014	2430	341	37	0
139015	2470	341	33	0
139016	2509	341	31	0
139017	2537	341	29	0
139018	2566	341	29	0
139019	2598	341	29	0
139020	2630	341	30	0
139021	2670	341	32	0
139022	2702	341	32	0
139023	2734	341	33	0
139024	2766	340	33	0
139025	2798	341	34	0
139026	2830	340	34	0
139027	2870	341	35	0
139028	2902	340	35	0
139029	2934	341	37	0
139030	2966	341	37	0
139031	2998	341	38	0
139032	3030	341	38	0
139033	3070	340	39	0
139034	3102	340	40	0
139035	3134	339	41	0
