frame	time	x	y	burst
48571	32	508	278	0
48572	64	507	276	0
48573	96	507	278	0
48574	128	507	278	0
48575	160	507	278	0
48576	208	507	278	0
48577	246	506	276	0
48578	274	505	275	0
48579	304	505	274	0
48580	336	503	274	0
48581	368	501	274	0
48582	400	501	273	0
48583	432	500	274	0
48584	464	499	274	0
48585	496	499	273	0
48586	528	498	273	0
48587	560	498	271	0
48588	614	497	269	0
48589	659	496	268	0
48590	689	495	266	0
48591	717	494	263	0
48592	745	493	260	0
48593	774	493	257	0
48594	802	492	254	0
48595	832	491	251	0
48596	864	490	247	0
48597	896	489	244	0
48598	928	489	240	0
48599	960	489	237	0
48600	1008	489	234	0
48601	1040	489	230	0
48602	1072	489	226	0
48603	1104	489	224	0
48604	1136	489	219	0
48605	1168	489	215	0
48606	1200	490	211	0
48607	1234	490	208	0
48608	1265	490	205	0
48609	1296	491	200	0
48610	1328	491	197	0
48611	1360	491	193	0
48612	1408	492	189	0
48613	1447	492	184	0
48614	1475	493	181	0
48615	1504	494	176	0
48616	1536	494	174	0
48617	1568	495	170	0
48618	1600	494	169	0
48619	1632	493	169	0
48620	1664	491	169	0
48621	1697	491	167	0
48622	1728	489	164	0
48623	1760	488	163	0
48624	1814	487	160	0
48625	1854	486	157	0
48626	1885	485	153	0
48627	1913	484	149	0
48628	1942	484	147	0
48629	1970	483	143	0
48630	2000	481	142	0
48631	2032	480	141	0
48632	2064	479	139	0
48633	2096	477	137	0
48634	2128	476	135	0
48635	2160	474	132	0
48636	2208	473	130	0
48637	2240	472	126	0
48638	2272	470	123	0
48639	2304	469	121	0
48640	2336	467	118	0
48641	2368	467	117	0
48642	2400	465	114	0
48643	2432	464	113	0
48644	2464	463	111	0
48645	2496	462	109	0
48646	2528	461	109	0
48647	2560	460	108	0
48648	2608	459	106	0
48649	2646	457	105	0
48650	2675	456	103	0
48651	2704	455	101	0
48652	2736	454	100	0
48653	2768	451	98	0
48654	2800	449	97	0
48655	2832	447	96	0
48656	2864	444	94	0
48657	2896	440	92	0
48658	2928	438	92	0
48659	2960	435	91	0
48660	2992	431	90	0
48661	3040	427	88	0
48662	3072	424	87	0
48663	3104	422	85	0
48664	3136	417	83	0
48665	3168	415	81	0
48666	3200	413	80	0
48667	3232	410	77	0
48668	3264	408	75	0
48669	3296	405	73	0
48670	3328	403	71	0
48671	3360	399	68	0
48672	3392	397	66	0
48673	3440	395	64	0
48674	3472	392	61	0
48675	3504	388	58	0
48676	3536	387	56	0
48677	3568	383	53	0
48678	3600	380	50	0
48679	3632	378	48	0
48680	3664	376	45	0
48681	3696	374	42	0
48682	3728	371	40	0
48683	3760	369	38	0
48684	3792	368	38	0
48685	3840	366	38	0
48686	3882	364	37	0
48687	3910	361	36	0
48688	3939	358	35	0
48689	3968	356	34	0
48690	4000	355	34	0
48691	4032	354	33	0
48692	4064	354	32	0
48693	4096	354	32	0
48694	4128	353	32	0
48695	4160	352	30	0
48696	4192	351	30	0
48697	4240	350	31	0
48698	4272	349	32	0
48699	4304	347	32	0
48700	4336	346	33	0
48701	4368	343	33	0
48702	4400	341	32	0
48703	4432	340	32	0
48704	4464	337	32	0
48705	4496	333	31	0
48706	4528	331	30	0
48707	4560	328	30	0
48708	4592	323	30	0
48709	4640	319	29	0
48710	4672	316	28	0
48711	4704	313	27	0
48712	4736	309	26	0
48713	4768	305	25	0
48714	4800	302	24	0
48715	4832	301	26	0
48716	4864	301	26	0
48717	4896	301	26	0
48718	4928	298	26	0
48719	4960	295	27	0
48720	4992	295	26	0
48721	5040	291	25	0
48722	5082	289	25	0
48723	5110	288	25	0
48724	5138	287	25	0
48725	5168	287	25	0
48726	5200	288	26	0
48727	5232	288	25	0
48728	5264	288	26	0
48729	5296	288	26	0
48730	5328	288	26	0
48731	5360	288	27	0
48732	5392	288	27	0
48733	5440	289	28	0
48734	5472	289	29	0
48735	5504	289	29	0
48736	5536	287	31	0
48737	5568	287	32	0
48738	5600	285	35	0
48739	5632	285	36	0
48740	5664	283	39	0
48741	5696	282	41	0
48742	5728	282	42	0
48743	5760	279	46	0
48744	5792	279	48	0
48745	5840	276	51	0
48746	5872	276	55	0
48747	5904	275	58	0
48748	5936	273	61	0
48749	5968	272	63	0
48750	6000	270	66	0
48751	6032	268	69	0
48752	6064	266	71	0
48753	6096	264	74	0
48754	6128	262	77	0
48755	6160	260	80	0
48756	6192	257	82	0
48757	6239	256	85	0
48758	6282	254	86	0
48759	6311	253	85	0
48760	6339	253	83	0
48761	6368	251	83	0
48762	6400	250	82	0
48763	6432	244	82	0
48764	6464	241	80	0
48765	6496	239	80	0
48766	6528	235	79	0
48767	6560	232	77	0
