frame	time	x	y	burst
156726	31	279	431	0
156727	64	280	429	0
156728	94	280	426	0
156729	126	279	425	0
156730	158	279	422	0
156731	190	279	417	0
156732	222	278	414	0
156733	254	277	410	0
156734	286	277	405	0
156735	318	276	402	0
156736	350	276	397	0
156737	398	275	393	0
156738	430	274	390	0
156739	462	273	386	0
156740	494	272	381	0
156741	526	272	376	0
156742	558	272	373	0
156743	590	272	368	0
156744	622	272	364	0
156745	654	272	360	0
156746	686	273	356	0
156747	718	274	353	0
156748	750	274	350	0
156749	798	275	346	0
156750	840	276	344	0
156751	869	276	341	0
156752	898	276	337	0
156753	926	276	333	0
156754	958	276	329	0
156755	990	276	324	0
156756	1022	276	320	0
156757	1054	276	316	0
156758	1086	276	311	0
156759	1118	276	308	0
156760	1150	277	302	0
156761	1204	278	297	0
156762	1244	279	293	0
156763	1276	279	288	0
156764	1308	280	283	0
156765	1336	281	279	0
156766	1365	282	274	0
156767	1394	282	270	0
156768	1422	283	266	0
156769	1454	283	261	0
156770	1486	284	257	0
156771	1518	285	253	0
156772	1550	285	248	0
156773	1598	285	243	0
156774	1630	286	238	0
156775	1662	286	233	0
156776	1694	286	229	0
156777	1726	286	224	0
156778	1758	286	219	0
156779	1790	287	215	0
156780	1822	287	210	0
156781	1854	288	205	0
156782	1886	289	201	0
156783	1918	289	197	0
156784	1950	290	192	0
156785	1998	291	189	0
156786	2042	292	184	0
156787	2071	292	181	0
156788	2100	294	174	0
156789	2128	294	171	0
156790	2158	295	166	0
156791	2190	295	162	0
156792	2222	296	157	0
156793	2254	296	153	0
156794	2286	297	148	0
156795	2318	297	145	0
156796	2350	298	140	0
156797	2398	299	135	0
156798	2430	300	131	0
156799	2462	300	128	0
156800	2494	301	123	0
156801	2526	301	118	0
156802	2558	302	114	0
156803	2590	302	110	0
156804	2622	303	105	0
156805	2654	303	101	0
156806	2686	304	96	0
156807	2718	304	93	0
156808	2750	304	88	0
156809	2798	305	85	0
156810	2830	305	80	0
156811	2862	305	77	0
156812	2894	306	73	0
156813	2926	306	69	0
156814	2958	306	66	0
156815	2990	306	62	0
156816	3022	306	57	0
156817	3054	307	53	0
156818	3086	307	49	0
156819	3118	307	47	0
156820	3150	308	44	0
156821	3182	309	40	0
156822	3233	309	37	0
156823	3277	310	36	0
156824	3305	311	34	0
156825	3333	311	34	0
156826	3362	311	34	0
156827	3390	311	34	0
156828	3422	309	32	0
156829	3454	306	29	0
156830	3486	305	27	0
156831	3518	302	23	0
156832	3550	301	21	0
156833	3582	300	21	0
156834	3630	299	20	0
156835	3662	299	20	0
156836	3694	298	20	0
156837	3726	297	21	0
156838	3758	297	24	0
156839	3790	296	24	0
156840	3822	295	25	0
156841	3854	294	26	0
156842	3886	292	27	0
156843	3918	288	28	0
156844	3950	286	27	0
156845	3982	282	27	0
156846	4030	279	26	0
156847	4062	274	24	0
156848	4094	270	23	0
156849	4126	267	22	0
156850	4158	264	22	0
156851	4190	264	24	0
156852	4222	264	25	0
156853	4254	262	26	0
156854	4286	261	27	0
156855	4318	259	28	0
156856	4350	258	28	0
156857	4382	255	28	0
156858	4433	251	28	0
156859	4477	248	28	0
156860	4505	243	28	0
156861	4533	240	28	0
156862	4562	237	28	0
156863	4591	233	28	0
156864	4622	231	30	0
156865	4654	229	31	0
156866	4686	227	32	0
156867	4718	224	33	0
156868	4750	223	34	0
156869	4782	219	35	0
156870	4830	217	35	0
156871	4862	215	35	0
156872	4894	210	36	0
156873	4926	209	36	0
156874	4958	208	37	0
156875	4990	207	38	0
156876	5022	207	39	0
156877	5054	205	40	0
156878	5086	205	41	0
156879	5118	205	41	0
156880	5150	203	42	0
156881	5182	203	42	0
156882	5230	203	42	0
156883	5262	203	42	0
156884	5294	204	41	0
156885	5326	204	41	0
156886	5358	203	40	0
156887	5390	203	39	0
156888	5422	203	39	0
156889	5454	203	39	0
156890	5486	203	39	0
156891	5518	204	40	0
156892	5550	205	40	0
156893	5582	206	41	0
156894	5633	207	41	0
156895	5677	209	40	0
156896	5705	211	38	0
156897	5733	212	38	0
156898	5762	215	35	0
156899	5791	218	34	0
156900	5822	220	34	0
156901	5854	224	32	0
156902	5886	227	31	0
156903	5918	231	31	0
156904	5950	233	31	0
156905	5982	236	30	0
156906	6030	240	28	0
156907	6063	244	27	0
156908	6095	249	26	0
156909	6127	252	26	0
156910	6159	256	24	0
156911	6191	260	24	0
156912	6223	264	23	0
156913	6255	267	23	0
156914	6286	271	23	0
156915	6319	276	23	0
156916	6351	279	23	0
156917	6383	282	23	0
156918	6431	286	23	0
156919	6463	291	22	0
156920	6495	294	22	0
156921	6527	298	22	0
156922	6559	302	23	0
156923	6591	306	22	0
156924	6624	311	23	0
156925	6655	314	23	0
156926	6686	319	24	0
156927	6719	322	24	0
156928	6751	325	24	0
156929	6783	328	25	0
156930	6834	331	25	0
156931	6877	334	26	0
156932	6905	338	28	0
156933	6933	341	29	0
156934	6961	344	30	0
156935	6991	347	30	0
156936	7023	351	32	0
156937	7055	354	33	0
156938	7087	358	33	0
156939	7119	360	34	0
156940	7151	363	35	0
156941	7183	365	36	0
156942	7231	366	37	0
156943	7263	369	39	0
156944	7295	371	41	0
156945	7327	375	45	0
156946	7359	377	47	0
156947	7391	380	50	0
156948	7423	383	53	0
156949	7455	386	55	0
156950	7487	389	57	0
156951	7519	392	59	0
156952	7550	396	63	0
156953	7583	399	65	0
156954	7631	403	68	0
156955	7663	406	70	0
156956	7695	410	72	0
156957	7727	413	75	0
156958	7759	417	77	0
156959	7791	420	79	0
156960	7823	422	80	0
156961	7854	427	84	0
156962	7887	429	85	0
156963	7919	433	87	0
156964	7951	436	89	0
156965	7983	439	92	0
156966	8034	442	94	0
156967	8077	445	97	0
156968	8105	448	100	0
156969	8134	450	102	0
156970	8162	453	105	0
156971	8191	456	108	0
156972	8222	459	111	0
156973	8255	461	113	0
156974	8286	464	117	0
156975	8318	466	119	0
156976	8350	469	123	0
156977	8382	471	126	0
156978	8430	474	129	0
156979	8463	476	132	0
156980	8494	478	134	0
156981	8527	480	137	0
156982	8558	481	139	0
156983	8591	481	141	0
156984	8622	482	144	0
156985	8655	483	146	0
156986	8686	483	148	0
156987	8719	484	151	0
156988	8750	485	154	0
156989	8783	486	157	0
156990	8830	487	160	0
156991	8863	486	164	0
156992	8895	485	168	0
156993	8927	484	172	0
156994	8958	484	176	0
156995	8990	483	179	0
156996	9022	482	184	0
156997	9054	481	189	0
156998	9086	480	193	0
156999	9118	479	197	0
157000	9150	478	201	0
157001	9182	477	205	0
157002	9215	476	209	0
157003	9268	475	212	0
157004	9311	475	216	0
157005	9341	473	220	0
157006	9369	472	225	0
157007	9397	471	229	0
157008	9426	471	231	0
157009	9454	469	237	0
157010	9486	468	240	0
157011	9518	467	244	0
157012	9550	466	249	0
157013	9583	465	253	0
157014	9614	465	256	0
157015	9662	463	262	0
157016	9695	463	264	0
157017	9727	461	268	0
157018	9758	461	272	0
157019	9790	460	276	0
157020	9822	460	280	0
157021	9854	460	283	0
157022	9886	459	288	0
157023	9918	459	291	0
157024	9950	458	295	0
157025	9982	457	299	0
157026	10014	456	303	0
157027	10062	456	307	0
157028	10095	455	311	0
157029	10127	455	314	0
157030	10159	455	317	0
157031	10190	454	322	0
157032	10222	454	325	0
157033	10254	454	329	0
157034	10286	454	333	0
157035	10318	453	337	0
157036	10350	453	340	0
157037	10382	453	345	0
157038	10414	453	348	0
157039	10468	453	351	0
157040	10510	453	355	0
157041	10541	454	359	0
157042	10569	455	363	0
157043	10598	456	365	0
157044	10626	456	369	0
157045	10654	457	372	0
157046	10686	455	373	0
157047	10718	455	375	0
157048	10750	454	375	0
157049	10782	453	375	0
157050	10814	452	376	0
157051	10862	450	378	0
157052	10894	448	379	0
157053	10927	445	381	0
157054	10959	443	383	0
157055	10991	440	385	0
157056	11022	437	388	0
157057	11054	436	389	0
157058	11086	434	391	0
157059	11118	432	394	0
157060	11150	429	397	0
157061	11182	427	399	0
157062	11214	425	400	0
157063	11262	424	400	0
157064	11294	422	402	0
157065	11326	421	402	0
157066	11358	421	403	0
157067	11390	417	405	0
157068	11422	416	406	0
157069	11454	415	407	0
157070	11486	414	407	0
157071	11518	412	409	0
157072	11550	410	412	0
157073	11582	410	412	0
157074	11614	409	413	0
157075	11668	408	413	0
157076	11710	408	413	0
157077	11741	407	414	0
157078	11770	407	414	0
157079	11798	406	415	0
157080	11826	405	416	0
157081	11854	403	417	0
157082	11886	403	417	0
157083	11918	401	418	0
157084	11950	399	420	0
157085	11982	397	421	0
157086	12014	394	423	0
157087	12062	392	425	0
157088	12094	388	427	0
157089	12126	384	430	0
157090	12158	383	430	0
157091	12190	380	431	0
157092	12223	376	433	0
157093	12255	375	433	0
157094	12286	371	435	0
157095	12318	369	435	0
157096	12350	367	435	0
157097	12382	361	437	0
157098	12414	361	436	0
157099	12462	358	437	0
157100	12494	356	437	0
157101	12526	354	438	0
157102	12558	351	440	0
157103	12590	347	442	0
157104	12622	345	442	0
157105	12654	344	442	0
157106	12686	340	444	0
157107	12718	339	443	0
157108	12750	337	444	0
157109	12782	335	444	0
157110	12814	333	445	0
157111	12868	330	446	0
157112	12910	328	446	0
157113	12942	325	447	0
157114	12970	321	448	0
157115	12999	319	448	0
157116	13028	318	449	0
157117	13057	316	449	0
157118	13087	314	450	0
157119	13118	314	449	0
157120	13150	312	449	0
157121	13182	310	449	0
157122	13214	306	450	0
157123	13262	304	449	0
157124	13294	303	449	0
157125	13326	301	449	0
157126	13358	300	449	0
157127	13390	298	449	0
157128	13422	295	450	0
157129	13454	294	449	0
157130	13486	289	450	0
157131	13518	287	449	0
157132	13550	282	451	0
157133	13582	280	450	0
157134	13614	279	449	0
157135	13662	276	449	0
157136	13694	275	449	0
157137	13726	273	449	0
157138	13758	270	449	0
157139	13790	266	449	0
157140	13822	265	448	0
157141	13854	261	447	0
157142	13886	260	445	0
157143	13918	257	444	0
157144	13950	255	444	0
157145	13982	251	443	0
157146	14014	247	443	0
157147	14068	244	443	0
157148	14110	241	443	0
157149	14142	237	443	0
157150	14170	236	442	0
157151	14198	235	441	0
157152	14227	232	439	0
157153	14256	230	437	0
157154	14286	229	436	0
157155	14318	229	435	0
157156	14350	228	434	0
157157	14382	228	433	0
157158	14414	228	430	0
157159	14462	227	428	0
157160	14494	228	426	0
157161	14526	228	424	0
157162	14558	229	421	0
157163	14590	229	417	0
157164	14622	230	414	0
157165	14654	231	412	0
157166	14686	232	408	0
157167	14718	233	405	0
157168	14750	234	401	0
157169	14783	235	398	0
157170	14814	236	395	0
157171	14862	237	390	0
157172	14894	237	387	0
157173	14926	237	384	0
157174	14958	237	383	0
157175	14990	237	380	0
157176	15022	237	378	0
157177	15054	237	375	0
157178	15086	237	372	0
157179	15118	237	368	0
157180	15150	237	365	0
157181	15182	237	361	0
157182	15214	237	358	0
157183	15246	238	354	0
157184	15300	238	351	0
157185	15341	238	347	0
157186	15372	238	343	0
157187	15400	238	340	0
157188	15428	237	337	0
157189	15456	238	333	0
157190	15486	239	329	0
157191	15518	239	326	0
157192	15550	239	322	0
157193	15582	239	319	0
157194	15614	240	315	0
157195	15646	241	311	0
157196	15694	241	308	0
157197	15726	241	306	0
157198	15758	241	301	0
157199	15790	241	299	0
157200	15822	241	295	0
157201	15854	240	292	0
157202	15886	240	288	0
157203	15918	239	285	0
157204	15950	238	281	0
157205	15982	237	278	0
157206	16014	236	276	0
157207	16046	236	272	0
157208	16094	236	268	0
157209	16126	235	265	0
157210	16158	234	261	0
157211	16190	234	258	0
157212	16222	234	253	0
157213	16254	234	251	0
157214	16286	234	247	0
157215	16318	234	244	0
157216	16350	234	239	0
157217	16382	234	236	0
157218	16414	234	233	0
157219	16446	234	230	0
157220	16500	234	226	0
157221	16541	235	223	0
157222	16571	235	219	0
157223	16600	235	216	0
157224	16628	235	213	0
157225	16657	235	210	0
157226	16686	236	206	0
157227	16718	236	202	0
157228	16750	237	199	0
157229	16782	237	196	0
157230	16814	238	192	0
157231	16846	238	189	0
157232	16894	239	184	0
157233	16926	239	182	0
157234	16958	239	179	0
157235	16990	239	175	0
157236	17022	239	171	0
157237	17054	239	168	0
157238	17086	238	164	0
157239	17118	238	161	0
157240	17150	238	158	0
157241	17182	237	154	0
157242	17214	236	151	0
157243	17246	236	148	0
157244	17294	235	144	0
157245	17330	234	142	0
157246	17358	233	138	0
157247	17390	232	133	0
157248	17422	231	131	0
157249	17454	230	127	0
157250	17486	229	124	0
157251	17518	228	120	0
157252	17550	227	117	0
157253	17582	226	113	0
157254	17614	225	110	0
157255	17646	223	106	0
157256	17700	222	103	0
157257	17741	221	99	0
157258	17773	219	95	0
157259	17805	218	92	0
157260	17835	218	89	0
157261	17864	217	86	0
157262	17892	216	82	0
157263	17921	215	79	0
157264	17950	214	75	0
157265	17982	213	72	0
157266	18014	212	69	0
157267	18046	212	66	0
157268	18094	211	62	0
157269	18126	210	58	0
157270	18158	210	56	0
157271	18190	209	53	0
157272	18222	208	48	0
157273	18254	208	45	0
157274	18286	208	41	0
157275	18318	208	38	0
157276	18350	208	35	0
157277	18382	210	37	0
157278	18414	210	38	0
157279	18446	210	39	0
157280	18494	210	39	0
157281	18526	211	40	0
157282	18558	212	40	0
157283	18590	212	41	0
157284	18622	213	41	0
157285	18654	213	41	0
157286	18686	215	40	0
157287	18718	217	39	0
157288	18750	219	38	0
157289	18782	221	36	0
157290	18814	223	35	0
157291	18846	226	33	0
157292	18899	228	31	0
157293	18940	230	30	0
157294	18970	231	31	0
157295	18999	232	31	0
157296	19027	234	31	0
157297	19056	235	31	0
157298	19086	237	30	0
157299	19118	239	30	0
157300	19150	241	29	0
157301	19182	244	28	0
157302	19214	246	27	0
157303	19246	249	26	0
157304	19294	251	25	0
157305	19326	252	25	0
157306	19358	253	25	0
157307	19390	254	26	0
157308	19422	254	26	0
157309	19454	254	27	0
157310	19486	255	28	0
157311	19518	255	28	0
157312	19550	255	28	0
157313	19582	255	28	0
157314	19614	255	28	0
157315	19646	254	29	0
157316	19694	253	28	0
157317	19731	253	29	0
157318	19760	254	29	0
157319	19790	254	29	0
157320	19822	255	30	0
157321	19854	255	30	0
157322	19886	255	30	0
157323	19918	255	30	0
157324	19950	255	31	0
157325	19982	254	32	0
157326	20014	253	34	0
157327	20046	252	37	0
157328	20100	252	40	0
157329	20140	251	43	0
157330	20170	250	48	0
157331	20198	249	50	0
157332	20226	247	53	0
157333	20255	246	57	0
157334	20286	246	61	0
157335	20318	244	65	0
157336	20350	244	68	0
157337	20382	243	72	0
157338	20414	242	75	0
157339	20446	242	79	0
157340	20494	242	82	0
157341	20526	241	86	0
157342	20558	241	89	0
157343	20590	240	94	0
157344	20622	240	97	0
157345	20654	240	100	0
157346	20686	240	104	0
157347	20718	241	107	0
157348	20750	241	111	0
157349	20782	241	115	0
157350	20814	241	119	0
157351	20846	242	122	0
157352	20894	243	126	0
157353	20929	243	129	0
157354	20958	243	132	0
